NAME,DOI,PRIMARY_LOCATION
Editorial of transport data on the web,10.3233/SW-223278,https://content.iospress.com:443/download/semantic-web/sw223278?id=semantic-web%2Fsw223278
Boosting Knowledge Graph Generation from Tabular Data with RML Views,10.1007/978-3-031-33455-9_29,https://doi.org/10.1007/978-3-031-33455-9_29
Data Management Documentation in Citizen Science Projects: Bringing Formalisation and Transparency Together,10.5334/cstp.538,https://storage.googleapis.com/jnl-up-j-cstp-files/journals/1/articles/538/647dce1d15fad.pdf
Analysis of the Confidence in the Prediction of the Protein Folding by Artificial Intelligence,10.1007/978-3-031-38079-2_9,http://www.jbc.org/article/S0021925820666947/pdf
Comparison of Knowledge Graph Representations for Consumer Scenarios,10.1007/978-3-031-47240-4_15,https://link.springer.com/content/pdf/10.1007/978-3-031-47240-4_15.pdf
The RML Ontology: A Community-Driven Modular Redesign After a Decade of Experience in Mapping Heterogeneous Data to RDF,10.1007/978-3-031-47243-5_9,https://link.springer.com/content/pdf/10.1007/978-3-031-47243-5_9.pdf
Automatic Topic Label Generation using Conversational Models,10.1145/3587259.3627574,https://doi.org/10.1145/3587259.3627574
Enhancing drug repurposing on graphs by integrating drug molecular structure as feature,10.1109/CBMS58004.2023.00215,https://www.biorxiv.org/content/biorxiv/early/2023/05/04/2023.05.03.539227.full.pdf
Pody: A Solid-Based Approach to Embody Agents in Web-Based Multi-Agent-Systems,10.1007/978-3-031-48539-8_15,https://doi.org/10.1007/978-3-031-48539-8_15
Event Extraction and Semantic Representation from Spanish Workers Statute Using Large Language Models,10.3233/FAIA230983,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA230983
Lessons learned to enable question answering on knowledge graphs extracted from scientific publications: A case study on the coronavirus literature,10.1016/j.jbi.2023.104382,https://doi.org/10.1016/j.jbi.2023.104382
Complex queries over decentralised systems for geodata retrieval,10.1049/ntw2.12037,https://doi.org/10.1049/ntw2.12037
GEnI: A framework for the generation of explanations and insights of knowledge graph embedding predictions,10.1016/j.neucom.2022.12.010,https://doi.org/10.1016/j.neucom.2022.12.010
Dimensionality-reducing classifiers for Spanish winter maintenance of roadways,10.1109/CIoT57267.2023.10084897,https://doi.org/10.1109/ciot57267.2023.10084897
Depicting Vocabulary Summaries with Devos,10.1145/3543873.3587359,https://doi.org/10.1145/3543873.3587359
Injecting data into ODRL privacy policies dynamically with RDF mappings,10.1145/3543873.3587358,https://doi.org/10.1145/3543873.3587358
The First International Workshop on Knowledge Graphs for Sustainability - KG4S Foreword,10.1145/3543873.3589745,https://doi.org/10.1145/3543873.3589745
Practical challenges of ODRL and potential courses of action,10.1145/3543873.3587628,https://doi.org/10.1145/3543873.3587628
Distributed training and inference of deep learning solar energy forecasting models,10.1109/PDP59025.2023.00035,https://doi.org/10.1109/pdp59025.2023.00035
The ETSI SAREF Ontology for Smart Applications: A Long Path of Development and Evolution,10.1002/9781119899457.ch7,https://doi.org/10.1002/9781119899457.ch7
A combination of supervised dimensionality reduction and learning methods to forecast solar radiation,10.1007/s10489-022-04175-y,https://link.springer.com/content/pdf/10.1007/s10489-022-04175-y.pdf
"FAIR-IMPACT project response to"" FAIR Assessment Tools: Towards an"" Apples to Apples"" Comparisons""",None,None
InDaMul: Incentivized Data Mules for Opportunistic Networking Through Smart Contracts and Decentralized Systems,None,https://dl.acm.org/doi/pdf/10.1145/3587696
Declarative generation of RDF-star graphs from heterogeneous data,None,https://content.iospress.com:443/download/semantic-web/sw243602?id=semantic-web%2Fsw243602
Human-Friendly RDF Graph Construction: Which one do you chose?,https://doi.org/10.1007/978-3-031-34444-2_19,https://doi.org/10.1007/978-3-031-34444-2_19
Morph-KGC: declarative generation of RDF-star graphs from heterogeneous data,None,https://doi.org/10.1007/978-3-031-33455-9_29
A Decentralized Data Sharing Framework based on a Key-Redistribution method,None,https://doi.org/10.1137/0117107
Protecting digital identity in the Metaverse: the case of access to a cinema in Decentraland,None,https://dergipark.org.tr/en/download/article-file/2762315
Declarative RDF Construction from In-Memory Data Structures with RML,None,https://doi.org/10.1016/j.websem.2020.100596
Preface for the 4th Edition of the International Knowledge Graph Construction Workshop,None,https://doi.org/10.1007/978-94-6300-512-8
Comparison of Knowledge Graph Representations for Consumer Scenarios,https://doi.org/10.1007/978-3-031-47240-4_15,https://link.springer.com/content/pdf/10.1007/978-3-031-47240-4_15.pdf
Towards a UML-based notation for OWL ontologies,None,https://doi.org/10.1007/978-3-540-24750-0_4
AI4Labour: Reshaping Labour Force Participation with Artificial Intelligence,None,None
Towards Assessing FAIR Research Software Best Practices in an Organization Using RDF-star,None,https://doi.org/10.1016/s0160-791x(03)00021-6
TEC: Transparent Emissions Calculation Toolkit,10.1007/978-3-031-47243-5_5,https://doi.org/10.1007/978-3-031-47243-5_5
ELAINE: rELiAbility and evIdence-aware News vErifier,None,https://doi.org/10.1016/j.jaccpubpol.2007.11.001
Proof of Location through a Blockchain Agnostic Smart Contract Language,10.1109/ICDCSW60045.2023.00016,https://doi.org/10.1109/icdcsw60045.2023.00016
Re-Construction Impact on Metadata Representation Models,10.1145/3587259.3627554,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2004-5-10-r80
DLT-Based Personal Data Access Control with Key-Redistribution,10.1109/BCCA58897.2023.10338895,https://doi.org/10.1109/bcca58897.2023.10338895
"Interoperability of Heterogeneous Systems of Systems: Review of Challenges, Emerging Requirements and Options",10.1145/3555776.3577692,https://doi.org/10.1145/3555776.3577692
On the Use of Deep Neural Networks for Security Vulnerabilities Detection in Smart Contracts,10.1109/PerComWorkshops56833.2023.10150302,https://doi.org/10.1109/percomworkshops56833.2023.10150302
Towards an Automatic Easy-to-Read Adaptation of Morphological Features in Spanish Texts,10.1007/978-3-031-42280-5_12,https://doi.org/10.1007/978-3-031-42280-5_12
ACM K-CAP 2023 Chairs' Welcome,None,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/psc.3127
Towards an Architecture for Data Altruism in Solid,None,https://doi.org/10.1007/s12130-999-1026-0
Softalias-KG: Reconciling Software Mentions in Scientific Literature,None,None
"Preface to the Proceedings of the 2023 International Semantic Web Conference Posters, Demos and Industry Tracks",None,None
Towards An Artificial Intelligence (AI)-based Framework to Automatically Adapt Short Stories in Spanish into Easier and Accessible Versions,None,https://www.mdpi.com/2072-4292/13/13/2596/pdf?version=1625555818
Preface,None,https://doi.org/10.1016/s0304-0208(06)80001-0
Building a Knowledge Graph from Historical Newspapers: A Study Case in Ecuador,10.1007/978-3-031-32213-6_10,https://doi.org/10.1007/978-3-031-32213-6_10
"Preface of the Joint Workshop Proceedings of the 5th Sem4Tra Workshop, and 2nd NLP4KGC Workshop co-located with SEMANTiCS 2023",None,None
XSD2SHACL: Capturing RDF Constraints from XML Schema,10.1145/3587259.3627565,https://doi.org/10.1145/3587259.3627565
The 4th Wikidata Workshop - Wikidata Workshop 2023,None,https://aclanthology.org/2022.acl-long.500.pdf
LUBM4OBDA: Benchmarking OBDA Systems with Inference and Meta Knowledge,10.13052/jwe1540-9589.2284,https://journals.riverpublishers.com/index.php/JWE/article/download/18845/19479
Companion Proceedings of the 23rd International Conference on Knowledge Engineering and Knowledge Management,None,http://www.inderscience.com/filter.php?aid=103335
Phenotypes of non-alcoholic fatty liver disease (NAFLD) and all-cause mortality: unsupervised machine learning analysis of NHANES III,10.1136/bmjopen-2022-067203,https://bmjopen.bmj.com/content/bmjopen/12/11/e067203.full.pdf
OBOE: an Explainable Text Classification Framework,10.9781/ijimai.2022.11.001,https://doi.org/10.9781/ijimai.2022.11.001
Government plans in the 2016 and 2021 Peruvian presidential elections: A natural language processing analysis of the health chapters,10.12688/wellcomeopenres.16867.5,https://figshare.com/articles/dataset/Data_-_Government_plans_in_the_2016_and_2021_Peruvian_presidential_elections_A_natural_language_processing_analysis_of_the_health_chapters/14466699
Challenges for FAIR Digital Object Assessment,10.3897/rio.8.e95943,https://riojournal.com/article/95943/download/pdf/
Challenges for FAIR Digital Object Assessment,None,https://riojournal.com/article/95943/download/pdf/
A Systematic Review of Ontologies for the Water Domain,None,https://doi.org/10.1002/9781394171460.ch2
Extending Ontology Engineering Practices to Facilitate Application Development,None,https://doi.org/10.1007/978-3-031-17105-5_2
esT5s: A Spanish Model for Text Summarization,None,https://ebooks.iospress.nl/pdf/doi/10.3233/SSW220020
The implications of natural language processing for public performance management: a systematic literature review,None,https://doi.org/10.1086/466942
Extraction and Semantic Representation of Domain-Specific Relations in Spanish Labour Law,10.26342/2022-69-9,https://doi.org/10.26530/oapen_625258
"An Overview of Drugs, Diseases, Genes and Proteins in the CORD-19 Corpus [Una visión general de los Fármacos, Enfermedades, Genes y Proteínas en el corpus CORD-19]",10.26342/2022-69-14,None
Multi-label Text Classification for Public Procurement in Spanish [Clasificación multi-etiqueta de textos de licitaciones públicas en español],10.26342/2022-69-6,None
WoTHive: Enabling Syntactic and Semantic Discovery in the Web of Things,None,None
Nine best practices for research software registries and repositories,10.7717/PEERJ-CS.1023,https://doi.org/10.7717/peerj-cs.1023
Ontology Management in an Industrial Environment: The BASF Governance Operational Model for Ontologies (GOMO),10.5281/zenodo.7007495,https://zenodo.org/records/7007495/files/bio-ontologies%20paper%20GOMO.pdf
Analysis of ontologies and policy languages to represent information flows in GDPR,10.3233/SW-223009,https://content.iospress.com:443/download/semantic-web/sw223009?id=semantic-web%2Fsw223009
A low-cost method for text summarization,None,http://journal.chestnet.org/article/S0012369212601147/pdf
Using the ODRL Profile for Access Control for Solid Pod Resource Governance,None,https://doi.org/10.1007/978-3-031-11609-4_3
Proceedings of the 3rd International Workshop on Semantic Digital Twins (SeDiT 2022),None,None
FAIR Principles for Research Software (FAIR4RS Principles),10.15497/RDA00068,https://www.nature.com/articles/s41597-022-01710-x.pdf
"Lynx: A knowledge-based AI service platform for content processing, enrichment and analysis for the legal domain",10.1016/j.is.2021.101966,https://doi.org/10.1016/j.is.2021.101966
Technologies and Applications for Big Data Value,None,https://doi.org/10.1007/978-3-030-78307-5
"Using a Legal Knowledge Graph for Multilingual Compliance Services in Labor Law, Contract Management, and Geothermal Energy",10.1007/978-3-030-78307-5_12,https://link.springer.com/content/pdf/10.1007/978-3-030-78307-5_12.pdf
A framework for creating knowledge graphs of scientific software metadata,10.1162/qss_a_00167,https://direct.mit.edu/qss/article-pdf/2/4/1423/2007844/qss_a_00167.pdf
"Towards Smart, Digitalised Rural Regions And Communities - Policies, Best Practices And Case Studies",None,https://doi.org/10.1787/120e170e-en
Proceedings of the 9th Linked Data in Architecture and Construction Workshop (LDAC2021),None,None
Description of Postdata Poetry Ontology V1.0,10.51305/icl.cz.9788076580336.02,https://www.plottingpoetry.org/books/tackling_toolkit/pdf/02_diezplatas.pdf
"Development, validation, and application of a machine learning model to estimate salt consumption in 54 countries",10.7554/eLife.72930,https://doi.org/10.7554/elife.72930
"Author response: Development, validation, and application of a machine learning model to estimate salt consumption in 54 countries",10.7554/elife.72930.sa2,https://doi.org/10.7554/elife.72930.sa2
"Estimating  salt consumption  in  49  low-  and  middle-income  countries:  Development, validation and application of a machine learning model",https://doi.org/10.7554/eLife.72930,https://www.medrxiv.org/content/medrxiv/early/2021/09/02/2021.08.31.21262944.full.pdf
Context aware ontology-based hybrid intelligent framework for vehicle driver categorization,10.1002/ett.3729,https://doi.org/10.1002/ett.3729
Rule extraction in unsupervised anomaly detection for model explainability: Application to OneClass SVM[Formula presented],10.1016/j.eswa.2021.116100,https://doi.org/10.2352/issn.2470-1173.2016.17.drr-063
Annotating OGC web feature services automatically for generating geospatial knowledge graphs,10.1111/tgis.12863,https://doi.org/10.1111/tgis.12863
A graph-based representation of knowledge for managing land administration data from distributed agencies - A case study of Colombia,10.1080/10095020.2021.2015250,https://www.tandfonline.com/doi/pdf/10.1080/10095020.2021.2015250?needAccess=true
TheyBuyForYou platform and knowledge graph: Expanding horizons in public procurement with open linked data,10.3233/SW-210442,https://content.iospress.com:443/download/semantic-web/sw210442?id=semantic-web%2Fsw210442
A study of the quality of Wikidata,10.1016/j.websem.2021.100679,http://manuscript.elsevier.com/S1570826821000536/pdf/S1570826821000536.pdf
Data Quality Barriers for Transparency in Public Procurement,10.3390/info13020099,https://www.mdpi.com/2078-2489/13/2/99/pdf?version=1645523351
LOT: An industrial oriented ontology engineering framework,10.1016/j.engappai.2022.104755,https://doi.org/10.1016/j.engappai.2022.104755
Intelligent Human-input-based Blockchain Oracle (IHiBO),10.5220/0010945300003116,https://doi.org/10.5220/0010945300003116
PHDD: Corpus of Physical Health Data Disclosure on Twitter During COVID-19 Pandemic,10.1007/s42979-022-01097-x,https://link.springer.com/content/pdf/10.1007/s42979-022-01097-x.pdf
Multi-object tracking in traffic environments: A systematic literature review,10.1016/j.neucom.2022.04.087,https://doi.org/10.1016/j.neucom.2022.04.087
Towards CBDC-based machine-to-machine payments in consumer IoT,10.1145/3477314.3507078,https://doi.org/10.1145/3477314.3507078
Handling qualitative preferences in SPARQL over virtual ontology-based data access,10.3233/SW-212895,https://content.iospress.com:443/download/semantic-web/sw212895?id=semantic-web%2Fsw212895
Extracting and Understanding Call-to-actions of Push-Notifications,10.1007/978-3-031-08473-7_14,https://doi.org/10.1007/978-3-031-08473-7_14
Inspect4py: A Knowledge Extraction Framework for Python Code Repositories,10.1145/3524842.3528497,None
Incentivized Data Mules Based on State-Channels,10.1109/ICBC54727.2022.9805515,https://doi.org/10.1109/icbc54727.2022.9805515
Using the ODRL Profile for Access Control for Solid Pod Resource Governance,10.1007/978-3-031-11609-4_3,https://doi.org/10.1007/978-3-031-11609-4_3
Interpretable machine learning models for predicting and explaining vehicle fuel consumption anomalies,10.1016/j.engappai.2022.105222,https://doi.org/10.1016/j.engappai.2022.105222
Data governance through a multi-DLT architecture in view of the GDPR,10.1007/s10586-022-03691-3,https://link.springer.com/content/pdf/10.1007/s10586-022-03691-3.pdf
Decentralized Personal Data Marketplaces: How Participation in a DAO Can Support the Production of Citizen-Generated Data,10.3390/s22166260,https://www.mdpi.com/1424-8220/22/16/6260/pdf?version=1661238706
Accepted Tutorials at The Web Conference 2022,10.1145/3487553.3547182,https://dl.acm.org/doi/pdf/10.1145/3487553.3547182
The impact of NFT profile pictures within social network communities,10.1145/3524458.3547230,https://doi.org/10.1145/3524458.3547230
DLT-based Data Mules for Smart Territories,10.1109/ICCCN54977.2022.9868916,https://doi.org/10.1109/icccn54977.2022.9868916
TermitUp: Generation and enrichment of linked terminologies,10.3233/SW-222885,https://content.iospress.com:443/download/semantic-web/sw222885?id=semantic-web%2Fsw222885
Decentralized Health Data Distribution: A DLT-based Architecture for Data Protection,10.1109/Blockchain55522.2022.00023,https://doi.org/10.1109/blockchain55522.2022.00023
Extending Ontology Engineering Practices to Facilitate Application Development,10.1007/978-3-031-17105-5_2,https://doi.org/10.1007/978-3-031-17105-5_2
EBOCA: Evidences for BiOmedical Concepts Association Ontology,10.1007/978-3-031-17105-5_11,https://doi.org/10.1007/978-3-031-17105-5_11
Simulation of the Internet Computer Protocol: the Next Generation Multi-Blockchain Architecture,10.1109/DS-RT55542.2022.9932122,https://doi.org/10.1109/ds-rt55542.2022.9932122
Blockchain-Based Data Management for Smart Transportation,10.1007/978-3-031-07535-3_20,https://doi.org/10.1086/466922
Systematic Construction of Knowledge Graphs for Research-Performing Organizations,10.3390/info13120562,https://www.mdpi.com/2078-2489/13/12/562/pdf?version=1669804108
Towards a Taxonomy of AI Risks in the Health Domain,10.1109/TransAI54797.2022.00007,https://doi.org/10.1109/transai54797.2022.00007
"Fostering trust with transparency in the data economy era: An integrated ethical, legal, and knowledge engineering approach",10.1145/3565011.3569061,https://zenodo.org/records/7131070/files/Data_Ec_WS__PPOP.pdf
"Now, Later, Never: A Study of Urgency in Mobile Push-Notifications",10.1007/978-3-031-20436-4_4,https://zenodo.org/record/7368963/files/MoMM_2022___short___preprint.pdf
An extension of Thing Descriptions from the Web of Things for Digital Twins,10.12688/openreseurope.15280.1,https://zenodo.org/record/7304368
Automating the Response to GDPR's Right of Access,10.3233/FAIA220462,https://zenodo.org/records/7131084/files/preprint.pdf
WhenTheFact: Extracting Events from European Legal Decisions,10.3233/FAIA220470,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA220470
Smart Contracts Vulnerability Classification through Deep Learning,10.1145/3560905.3568175,https://dl.acm.org/doi/pdf/10.1145/3560905.3568175
Packaging research artefacts with RO-Crate,10.3233/DS-210053,https://content.iospress.com:443/download/data-science/ds210053?id=data-science%2Fds210053
Bringing Federated Semantic Queries to the GIS-Based Scenario,10.3390/ijgi11020086,https://www.mdpi.com/2220-9964/11/2/86/pdf?version=1643204664
Characterizing water quality datasets through multi-dimensional knowledge graphs: a case study of the Bogota river basin,10.2166/hydro.2022.070,https://iwaponline.com/jh/article-pdf/24/2/295/1030721/jh0240295.pdf
Characterization of urban risks in the press applying text mining for the enrichment of open data Luis M. Vilches-Blázquez and Diana Comesaña Ocampo [Caracterización de riesgos urbanos en prensa aplicando minería de texto para el enriquecimiento de datos abiertos],10.22201/iibi.24488321xe.2022.91.58538,None
Ontology verification testing using lexico-syntactic patterns,10.1016/j.ins.2021.09.011,https://doi.org/10.1016/j.ins.2021.09.011
Balancing coverage and specificity for semantic labelling of subject columns,10.1016/j.knosys.2021.108092,https://doi.org/10.1016/j.knosys.2021.108092
DockerPedia: A Knowledge Graph of Software Images and Their Metadata,10.1142/S0218194022500036,https://doi.org/10.1142/s0218194022500036
Multiagent System for the Prediction of Road Maintenance Actions,10.1007/978-3-030-87687-6_11,https://doi.org/10.1007/978-3-030-87687-6_11
Estimating Time Lost on Semaphores with Deep Learning,10.1007/978-3-030-87687-6_4,https://doi.org/10.1007/978-3-030-87687-6_4
Intelligent Agent for Roadway Data Analysis,10.1007/978-3-030-87687-6_10,https://doi.org/10.1007/978-3-030-87687-6_10
Chowlk: from UML-Based Ontology Conceptualizations to OWL,10.1007/978-3-031-06981-9_20,https://doi.org/10.1007/978-3-031-06981-9_20
Terminology and ontologies,10.1075/tlrp.23.07mon,https://doi.org/10.1055/s-0038-1634000
First Attempt to an Easy-to-Read Adaptation of Repetitions in Captions,10.1007/978-3-031-08648-9_48,https://doi.org/10.1007/978-3-031-08648-9_48
On The Modeling Of P2P Systems as Temporal Networks: A Case Study With Data Streaming,10.23919/ANNSIM55834.2022.9859513,https://doi.org/10.23919/annsim55834.2022.9859513
FAIROs: Towards FAIR Assessment in Research Objects,10.1007/978-3-031-16802-4_6,https://doi.org/10.1007/978-3-031-16802-4_6
Declarative Description of Knowledge Graphs Construction Automation: Status & Challenges,None,None
Devising Mapping Interoperability With Mapping Translation,None,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2004-5-10-r80
Preface for the 3rd Edition of the International Knowledge Graph Construction Workshop,None,https://asmedigitalcollection.asme.org/appliedmechanicsreviews/article-pdf/55/2/B38/5438969/b23_1.pdf
Devising Mapping Interoperability with Mapping Translation,None,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2004-5-10-r80
Helio: a framework for implementing the life cycle of knowledge graphs,None,https://content.iospress.com:443/download/semantic-web/sw233224?id=semantic-web%2Fsw233224
Estimating Time Lost on Semaphores with Deep Learning,None,https://doi.org/10.1007/978-3-030-87687-6_4
Intelligent Agent for Roadway Data Analysis,None,https://doi.org/10.1007/978-3-030-87687-6_10
Multiagent System for the Prediction of Road Maintenance Actions,None,https://doi.org/10.1007/978-3-030-87687-6_11
Representing Multilingual Terminologies with OntoLex-Lemon,None,https://link.springer.com/content/pdf/10.1007/978-3-319-25639-9_43.pdf
"Street images classification according to COVID-19 risk in Lima, Peru: a convolutional neural networks feasibility analysis",10.1136/bmjopen-2022-063411,https://bmjopen.bmj.com/content/bmjopen/12/9/e063411.full.pdf
Proceedings of the 10th Linked Data in Architecture and Construction Workshop (LDAC 2022),None,None
Semantifying the Governance of Data in Europe,None,https://doi.org/10.1142/s0218194014500314
Preface of the Joint Proceedings of the Poster & Demo Track and Workshop Track of SEMANTiCS 2022,None,None
Linked Archives 2022 International Workshop - Preface,None,https://direct.mit.edu/books/monograph/5491/bookpreview-pdf/2057612
PREFACE,None,https://doi.org/10.1016/s0304-0208(06)80001-0
TermTrends: Trends in Terminology Generation and Modelling,None,https://doi.org/10.20868/upm.thesis.74289
NextProcurement: Challenges in Public Procurement in Spain,None,None
Summaries of Knowledge Graph Entities: First Steps to Measure the Relevance of Symptoms to Infer Diseases,None,https://doi.org/10.1109/surv.2013.042313.00197
Linghub2: Language Resource Discovery Tool for Language Technologies,None,None
Preface,None,https://doi.org/10.1016/s0304-0208(06)80001-0
Preface,None,https://doi.org/10.1016/s0304-0208(06)80001-0
A Digital Twin Platform Generating Knowledge Graphs for Construction Projects,None,https://ieeexplore.ieee.org/ielx7/6287639/8948470/08972429.pdf
The impact of NFT profile pictures within social network communities,None,https://doi.org/10.1145/3524458.3547230
ON THE MODELING OF P2P SYSTEMS AS TEMPORAL NETWORKS: A CASE STUDY WITH DATA STREAMING,None,https://doi.org/10.23919/annsim55834.2022.9859513
Preface - SMART 2022,None,https://doi.org/10.1016/s0022-5347(05)64060-8
A Spanish Political Tweets Fine-Tuned Sentiment Analysis Model,None,https://doi.org/10.1007/978-3-031-14859-0_8
Apports des methodologies et techniques de developpement logiciel pour l'ingenierie des ontologies: Retour d'experience des contributions au developpement de l'ontologie ETSI SAREF,None,None
Enhancing Trust in Trust Services: Towards an Intelligent Human-input-based Blockchain Oracle (IHiBO),None,https://doi.org/10.24251/hicss.2022.712
Preface,None,https://doi.org/10.1016/s0304-0208(06)80001-0
A hierarchical multi-agent architecture based on virtual identities to explain black-box personalization policies,10.1016/j.eswa.2021.115731,https://doi.org/10.1016/j.eswa.2021.115731
A case-based reasoning model powered by deep learning for radiology report recommendation,10.9781/ijimai.2021.08.011,https://doi.org/10.9781/ijimai.2021.08.011
Semantic conflation in GIScience: a systematic review,10.1080/15230406.2021.1952109,https://doi.org/10.1080/15230406.2021.1952109
Proceedings of the Doctoral Consortium at ISWC 2021,None,https://doi.org/10.1007/978-3-030-88361-4
An analysis of pollution Citizen Science projects from the perspective of Data Science and Open Science,10.1108/DTA-10-2020-0253,https://doi.org/10.1108/dta-10-2020-0253
